"ts","eventId","Message","Rotation"
2025-06-25T19:26:25.976Z,4,"Data Entry 0","(0.01745, 0.00000, 0.00000, 0.99985)"
2025-06-25T19:26:26.001Z,4,"Data Entry 1","(0.05416, 0.00000, 0.00000, 0.99853)"
2025-06-25T19:26:26.020Z,4,"Data Entry 2","(0.06268, 0.00000, 0.00000, 0.99803)"
2025-06-25T19:26:26.024Z,4,"Data Entry 3","(0.06424, 0.00000, 0.00000, 0.99793)"
2025-06-25T19:26:26.026Z,4,"Data Entry 4","(0.06501, 0.00000, 0.00000, 0.99788)"
2025-06-25T19:26:26.028Z,4,"Data Entry 5","(0.06570, 0.00000, 0.00000, 0.99784)"
2025-06-25T19:26:26.029Z,4,"Data Entry 6","(0.06648, 0.00000, 0.00000, 0.99779)"
2025-06-25T19:26:26.031Z,4,"Data Entry 7","(0.06720, 0.00000, 0.00000, 0.99774)"
2025-06-25T19:26:26.033Z,4,"Data Entry 8","(0.06789, 0.00000, 0.00000, 0.99769)"
2025-06-25T19:26:26.037Z,4,"Data Entry 9","(0.06910, 0.00000, 0.00000, 0.99761)"
2025-06-25T19:26:26.040Z,4,"Data Entry 10","(0.07112, 0.00000, 0.00000, 0.99747)"
2025-06-25T19:26:26.057Z,4,"Data Entry 11","(0.07828, 0.00000, 0.00000, 0.99693)"
2025-06-25T19:26:26.072Z,4,"Data Entry 12","(0.08510, 0.00000, 0.00000, 0.99637)"
2025-06-25T19:26:26.089Z,4,"Data Entry 13","(0.09238, 0.00000, 0.00000, 0.99572)"
2025-06-25T19:26:26.091Z,4,"Data Entry 14","(0.09368, 0.00000, 0.00000, 0.99560)"
2025-06-25T19:26:26.093Z,4,"Data Entry 15","(0.09441, 0.00000, 0.00000, 0.99553)"
2025-06-25T19:26:26.095Z,4,"Data Entry 16","(0.09517, 0.00000, 0.00000, 0.99546)"
2025-06-25T19:26:26.096Z,4,"Data Entry 17","(0.09581, 0.00000, 0.00000, 0.99540)"
2025-06-25T19:26:26.098Z,4,"Data Entry 18","(0.09655, 0.00000, 0.00000, 0.99533)"
2025-06-25T19:26:26.102Z,4,"Data Entry 19","(0.09796, 0.00000, 0.00000, 0.99519)"
2025-06-25T19:26:26.105Z,4,"Data Entry 20","(0.09936, 0.00000, 0.00000, 0.99505)"
2025-06-25T19:26:26.127Z,4,"Data Entry 21","(0.10903, 0.00000, 0.00000, 0.99404)"
2025-06-25T19:26:26.147Z,4,"Data Entry 22","(0.11783, 0.00000, 0.00000, 0.99303)"
2025-06-25T19:26:26.167Z,4,"Data Entry 23","(0.12619, 0.00000, 0.00000, 0.99201)"
2025-06-25T19:26:26.169Z,4,"Data Entry 24","(0.12753, 0.00000, 0.00000, 0.99183)"
2025-06-25T19:26:26.172Z,4,"Data Entry 25","(0.12870, 0.00000, 0.00000, 0.99168)"
2025-06-25T19:26:26.174Z,4,"Data Entry 26","(0.12931, 0.00000, 0.00000, 0.99160)"
2025-06-25T19:26:26.175Z,4,"Data Entry 27","(0.12991, 0.00000, 0.00000, 0.99153)"
2025-06-25T19:26:26.177Z,4,"Data Entry 28","(0.13062, 0.00000, 0.00000, 0.99143)"
2025-06-25T19:26:26.178Z,4,"Data Entry 29","(0.13138, 0.00000, 0.00000, 0.99133)"
2025-06-25T19:26:26.180Z,4,"Data Entry 30","(0.13208, 0.00000, 0.00000, 0.99124)"
2025-06-25T19:26:26.182Z,4,"Data Entry 31","(0.13278, 0.00000, 0.00000, 0.99115)"
2025-06-25T19:26:26.183Z,4,"Data Entry 32","(0.13345, 0.00000, 0.00000, 0.99106)"
2025-06-25T19:26:26.185Z,4,"Data Entry 33","(0.13421, 0.00000, 0.00000, 0.99095)"
2025-06-25T19:26:26.187Z,4,"Data Entry 34","(0.13496, 0.00000, 0.00000, 0.99085)"
2025-06-25T19:26:26.189Z,4,"Data Entry 35","(0.13563, 0.00000, 0.00000, 0.99076)"
2025-06-25T19:26:26.193Z,4,"Data Entry 36","(0.13768, 0.00000, 0.00000, 0.99048)"
2025-06-25T19:26:26.216Z,4,"Data Entry 37","(0.14763, 0.00000, 0.00000, 0.98904)"
2025-06-25T19:26:26.242Z,4,"Data Entry 38","(0.15824, 0.00000, 0.00000, 0.98740)"
2025-06-25T19:26:26.243Z,4,"Data Entry 39","(0.15912, 0.00000, 0.00000, 0.98726)"
2025-06-25T19:26:26.245Z,4,"Data Entry 40","(0.15993, 0.00000, 0.00000, 0.98713)"
2025-06-25T19:26:26.247Z,4,"Data Entry 41","(0.16067, 0.00000, 0.00000, 0.98701)"
